item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"ALCOHOL, Ethyl, 68%-72%, 500 ml
",bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,200
"ALCOHOL, ethyl, 68%-72%, 1 Gallon",gallon,0,0,0,0,0,0,0,0,0,0,0,0,0,650
"ALCOHOL, isopropyl, 68%- 72%, 500ml (-5ml)",bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,200
"ALCOHOL, isopropyl, 68%-72%, scented, 3.785 liters
",gallon,0,0,0,0,0,0,0,0,0,0,0,0,0,650
"POVIDONE IODINE, 10 % solution, 120 ml",gallon,0,0,0,0,0,0,0,0,0,0,0,0,0,300
