item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"Air Conditioning Unit, Window Inverter Type",,,,,,,,,,,,,,,
"Air Conditioning Unit, Split Type",,,,,,,,,,,,,,,
White Board,,,,,,,,,,,,,,,
"White Board, Digital",,,,,,,,,,,,,,,
SMART Television,,,,,,,,,,,,,,,
Microphone,,,,,,,,,,,,,,,
Speakers,,,,,,,,,,,,,,,
Amplifier,,,,,,,,,,,,,,,
Equalizer,,,,,,,,,,,,,,,
HD Camera,,,,,,,,,,,,,,,
DSLR Camera,,,,,,,,,,,,,,,
HD Video Camera,,,,,,,,,,,,,,,
Video Conference Equipment,,,,,,,,,,,,,,,
LED bulb,,,,,,,,,,,,,,,
"PRINTER, Inkjet, Monochrome",,,,,,,,,,,,,,,
"PRINTER, Inkjet, Color",,,,,,,,,,,,,,,
Portable Printer,,,,,,,,,,,,,,,
Android Tablet,,,,,,,,,,,,,,,
Hub/Switches,,,,,,,,,,,,,,,
Network Routers,,,,,,,,,,,,,,,
Wireless Access Point,,,,,,,,,,,,,,,
"Scanner, Flatbed",,,,,,,,,,,,,,,
Wireless Pointing Device / Laser Pointer,,,,,,,,,,,,,,,
Multi Function PRINTER,,,,,,,,,,,,,,,
UNINTERRUPTIBLE POWER SUPPLY (UPS),,,,,,,,,,,,,,,
Mobile Phone,,,,,,,,,,,,,,,
"Scanner, Colored, Double sided, feeder type",,,,,,,,,,,,,,,
"GO BAG, for disaster relief, rescue operations",,,,,,,,,,,,,,,
Solar Panel,,,,,,,,,,,,,,,
Life Vest / Life Jacket,,,,,,,,,,,,,,,
(for emergency purposes / emergency preparedness / for disaster relief / rescue operations),,,,,,,,,,,,,,,
Charge Controller and DC Inverter for Solar Panel,,,,,,,,,,,,,,,
Bullet proof vest,,,,,,,,,,,,,,,
"Wheels, _____ (type of vehicle)",,,,,,,,,,,,,,,
Fuel Filters,,,,,,,,,,,,,,,
Drinking Water/ Fountain,,,,,,,,,,,,,,,
Auto Battery,,,,,,,,,,,,,,,
