item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
RAIN Boots,pair,,,,,,,,,,,,,,400
Duplicator Master [Duplo Roll Master DR-875 ( 2 rolls/bx)],unit,,,,,,,,,,,,,,600
