item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"DOCUMENT CAMERA, 8MP",unit,,,,,,,,,,,,,,25000
MULTIMEDIA PROJECTOR,unit,,,,,,,,,,,,,,25000
