item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"COPIER, Monochrome",unit,,,,,,,,,,,,,,"100,000"
"DISPENSER, Water, Hot and Cold",unit,,,,,,,,,,,,,,"6,000"
"LAMINATING MACHINE, heavy duty",unit,,,,,,,,,,,,,,"8,000"
"MULTIMEDIA PROJECTOR, 3500 min ANSI Lumens",unit,,,,,,,,,,,,,,"25,000"
"REFRIGERATOR, 8 cu. ft",set,,,,,,,,,,,,,,"20,000"
"TELEVISION, SMART, 50""",unit,,,,,,,,,,,,,,"50,000"
White Board,unit,,,,,,,,,,,,,,"9,000"
"White Board, Digital",unit,,,,,,,,,,,,,,"250,000"
