item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"Ink Cartridge, HP F6V26AA (HP680) Tri-color",cart,0,0,0," ",0,0,0,0,0,0,0,0,0,405.6
"Ink Cartridge, HP F6V27AA (HP680) Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,995.75
"Ink Cartridge, HP L0S51AA (HP955) Cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,995.75
"Ink Cartridge, HP L0S54AA (HP955) Magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,995.75
"Ink Cartridge, HP L0S57AA (HP955) Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4956.6
"Ink Cartridge, HP F6V26AA (HP680) Tri-color",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,1212.64
"Ink Cartridge, HP F6V27AA (HP680) Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,,1212.64
"Ink Cartridge, HP L0S51AA (HP955) Cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,1212.64
"Ink Cartridge, HP L0S54AA (HP955) Magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,1644.24
"Ink Cartridge, HP L0S57AA (HP955) Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,,453.62
"Ink Cartridge, HP L0S60AA (HP955) Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,453.62
"Ink Cartridge, HP L0S63AA (HP955XL) Cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,453.62
"Ink Cartridge, HP L0S66AA (HP955XL) Magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,741.28
"Ink Cartridge, HP L0S69AA (HP955XL) Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,77.43
"Ink Cartridge, HP L0S72AA (HP955XL) Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,736.32
"Ink Cartridge, HP T6L89AA (HP905) Cyan",cart,0,0,0,,0,0,0,0,0,0,0,0,0,77.94
"Ink Cartridge, HP T6L93AA (HP905) Magenta",cart,0,0,0,0,0,0,0,0,0,,0,0,0,2685.28
"Ink Cartridge, HP T6L97AA (HP905) Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,1892.8
"Ink Cartridge, HP T6M01AA (HP905) Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2685.28
"RIBBON CART, EPSON C13S015516 (#8750), Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3567.2
"RIBBON CART, EPSON C13S015531 (S015086), Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,5002.4
"RIBBON CART, EPSON C13S015632, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3380
"TONER CART, BROTHER TN-2025, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3337.36
"TONER CART, BROTHER TN-2130, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,7332
"TONER CART, BROTHER TN-2150, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3952
"TONER CART, BROTHER TN-3320, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3432
"TONER CART, BROTHER TN-3350, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2614.56
"TONER CART, HP CB435A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2542.8
"TONER CART, HP CB540A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2542.8
"TONER CART, HP CE255A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2542.8
"TONER CART, HP CE278A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,2916.16
"TONER CART, HP CE285A (HP85A), Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3072.16
"TONER CART, HP CE310A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3072.16
"TONER CART, HP CE311A, Cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3072.16
"TONER CART, HP CE312A, Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,8476
"TONER CART, HP CE313A, Magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,6900.4
"TONER CART, HP CE320A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,10193.04
"TONER CART, HP CE321A, Cyan",cart,0,0,0,0,0,0,,0,0,0,0,0,0,10193.04
"TONER CART, HP CE322A, Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,10193.04
"TONER CART, HP CE323A, Magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4201.6
"TONER CART, HP CE390A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,6011.2
"TONER CART, HP CE400A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,6011.2
"TONER CART, HP CE401A, Cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,6011.2
"TONER CART, HP CE402A, Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4466.8
"TONER CART, HP CE403A, Magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,7332
"TONER CART, HP CE410A, (HP305), Black",cart,0,0,0,0,0,,0,0,0,0,0,0,0,3044.08
"TONER CART, HP CE411A, (HP305), Cyan",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,5787.6
"TONER CART, HP CE412A, (HP305), Yellow",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,5200
"TONER CART, HP CE413A, (HP305), Magenta",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,9004.32
"TONER CART, HP CE505A, Black",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,8606
"TONER CART, HP CE505X, Black, high cap",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,3241.7
"Toner Cartridge, HP CF217A (HP17A) Black Laser Jet",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,4056
"Toner Cartridge, HP CF226A (HP26A) Black LaserJet",cart,0,0,0,0,0,0,0,0,0,0,0,0,0,10051
