item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"FIRE EXTINGUISHER, dry chemical",unit,0,0,0,0,0,0,,0,,0,,0,0,1300
"FIRE EXTINGUISHER, pure HCFC",unit,0,0,0,0,0,0,0,0,0,0,0,0,0,6000
