item,unit,budget,jan,feb,march,april,may,june,july,aug,sep,oct,nov,dec,price
"SOFTWARE, Anti-virus, 2-year protection, 3 devices",lic,,,,,,,,,,,,,,"1,500"
Statistical Software (SPSS),lic,,,,,,,,,,,,,,"170,000"
