categories
pesticides or pest repellents
perfumes or colognes or fragrances
alcohol or acetone based antiseptics
color compounds and dispersions
films
paper materials and products
batteries and cells and accessories
manufacturing components and supplies
heating and ventilation and air circulation
medical thermometers and accessories
lighting and fixtures and accessories
measuring and observing and testing equipment
cleaning equipment and supplies
information and communication technology(ICT) equipment and devices and accessories
office equipment and accessories and supplies
printer or facsimile or photocopier supplies
audio and visual equipment and Supply
flag or accessories
printed publications
fire fighting equipment
consumer electronics
face mask
software
part II. Other items not available at ps-dbm but are regularly purchased from the sources (note please indicate the price of item)
common electrical supplies
common office equipment
common office supplies
common janitorial supplies
consumables
inks and roll master
rain gear
software
paper materials & products
accountable forms
agricultural supplies
books
fuels and gas
furniture
fixture
laboratory supplies
laboratory equipment

